article_id,indicator1,indicator2,indicator3
5e822d370dc171d3c93e786c,"('redflag14', tensor([[0.0657]]))","('redflag17', tensor([[0.0576]]))","('redflag16', tensor([[0.0524]]))"
5e822d370dc171d3c93e7864,"('redflag16', tensor([[0.0869]]))","('redflag14', tensor([[0.0826]]))","('redflag17', tensor([[0.0811]]))"
5e822d370dc171d3c93e7877,"('redflag16', tensor([[0.0440]]))","('redflag14', tensor([[0.0371]]))","('redflag8', tensor([[0.0302]]))"
5e822e120dc171d3c93e78bf,"('redflag14', tensor([[0.0657]]))","('redflag17', tensor([[0.0576]]))","('redflag16', tensor([[0.0524]]))"
5e822e120dc171d3c93e78e6,"('redflag8', tensor([[0.1039]]))","('redflag7', tensor([[0.0956]]))","('redflag14', tensor([[0.0939]]))"
5e822e120dc171d3c93e78ef,"('redflag11', tensor([[0.0339]]))","('redflag8', tensor([[0.0329]]))","('redflag17', tensor([[0.0200]]))"
5e822e120dc171d3c93e78f2,"('redflag9', tensor([[0.0476]]))","('redflag5', tensor([[0.0429]]))","('redflag8', tensor([[0.0415]]))"
5e822e120dc171d3c93e78eb,"('redflag8', tensor([[0.0644]]))","('redflag11', tensor([[0.0550]]))","('redflag7', tensor([[0.0512]]))"
5e822e120dc171d3c93e78c1,"('redflag14', tensor([[0.0657]]))","('redflag17', tensor([[0.0576]]))","('redflag16', tensor([[0.0524]]))"
5e822e120dc171d3c93e78cb,"('redflag17', tensor([[0.0722]]))","('redflag16', tensor([[0.0652]]))","('redflag11', tensor([[0.0642]]))"
5e822e120dc171d3c93e78d8,"('redflag11', tensor([[0.0488]]))","('redflag17', tensor([[0.0408]]))","('redflag7', tensor([[0.0401]]))"
5e822e120dc171d3c93e78db,"('redflag17', tensor([[0.0655]]))","('redflag7', tensor([[0.0581]]))","('redflag11', tensor([[0.0561]]))"
5e822e120dc171d3c93e78b6,"('redflag17', tensor([[0.0248]]))","('redflag7', tensor([[0.0122]]))","('redflag11', tensor([[0.0121]]))"
5e822f4e0dc171d3c93e7973,"('redflag14', tensor([[0.0821]]))","('redflag17', tensor([[0.0748]]))","('redflag16', tensor([[0.0725]]))"
5e822ee30dc171d3c93e7944,"('redflag8', tensor([[0.0371]]))","('redflag11', tensor([[0.0347]]))","('redflag7', tensor([[0.0273]]))"
5e822e120dc171d3c93e78d6,"('redflag11', tensor([[0.0683]]))","('redflag17', tensor([[0.0640]]))","('redflag16', tensor([[0.0551]]))"
5e822ee30dc171d3c93e794d,"('redflag11', tensor([[0.0878]]))","('redflag17', tensor([[0.0863]]))","('redflag13', tensor([[0.0736]]))"
5e822ee30dc171d3c93e7928,"('redflag17', tensor([[0.0217]]))","('redflag11', tensor([[0.0155]]))","('redflag7', tensor([[0.0147]]))"
5e822fa00dc171d3c93e79b0,"('redflag11', tensor([[0.0785]]))","('redflag7', tensor([[0.0740]]))","('redflag17', tensor([[0.0687]]))"
5e822ee30dc171d3c93e7950,"('redflag11', tensor([[0.0490]]))","('redflag17', tensor([[0.0442]]))","('redflag16', tensor([[0.0419]]))"
5e822fc30dc171d3c93e79db,"('redflag15', tensor([[0.0353]]))","('redflag14', tensor([[0.0350]]))","('redflag19', tensor([[0.0279]]))"
5e822e120dc171d3c93e78bc,"('redflag14', tensor([[0.0657]]))","('redflag17', tensor([[0.0576]]))","('redflag16', tensor([[0.0524]]))"
5e822ee30dc171d3c93e7945,"('redflag8', tensor([[0.0371]]))","('redflag11', tensor([[0.0347]]))","('redflag7', tensor([[0.0273]]))"
5e82308f0dc171d3c93e7a08,"('redflag9', tensor([[0.1014]]))","('redflag17', tensor([[0.0972]]))","('redflag10', tensor([[0.0946]]))"
5e82308f0dc171d3c93e7a2c,"('redflag11', tensor([[0.1169]]))","('redflag10', tensor([[0.1078]]))","('redflag17', tensor([[0.1077]]))"
5e82308f0dc171d3c93e7a49,"('redflag9', tensor([[0.1707]]))","('redflag11', tensor([[0.1648]]))","('redflag10', tensor([[0.1643]]))"
5e82308f0dc171d3c93e79f7,"('redflag9', tensor([[0.1293]]))","('redflag2', tensor([[0.1279]]))","('redflag18', tensor([[0.1276]]))"
